mcats_gpas_all_years,,,,,,,,,,,,,,
Applicants,,,2018-2019,,2019-2020,,2020-2021,,2021-2022,,2022-2023,,2023-2024,
MCAT CPBS,Mean,,126.3,,126.4,,126.5,,126.3,,126.4,,126.4,
SD,,2.7,,,,2.8,,2.8,,2.9,,2.9,,3.0
MCAT CARS                                 Mean,,125.9,,,,125.9,,125.9,,125.7,,125.8,,125.8
SD,,2.7,,,,2.7,,2.7,,2.8,,2.8,,2.8
MCAT BBLS                                 Mean,,126.6,,,,126.7,,126.8,,126.7,,126.8,,126.6
SD,,2.7,,,,2.7,,2.7,,2.8,,2.9,,2.9
MCAT PSBB                                 Mean,,126.8,,,,127.1,,127.2,,127.3,,127.5,,127.4
SD,,2.7,,,,2.7,,2.7,,2.8,,2.8,,2.8
Total MCAT                                 Mean,,505.6,,,,506.1,,506.4,,505.9,,506.5,,506.3
SD,,9.3,,,,9.3,,9.2,,9.7,,9.9,,10.0
GPA Science                                Mean,,3.47,,,,3.48,,3.49,,3.48,,3.52,,3.54
SD,,0.43,,,,0.43,,0.42,,0.44,,0.42,,0.42
GPA Non-Science                       Mean,,3.71,,,,3.72,,3.74,,3.74,,3.76,,3.78
SD,,0.28,,,,0.28,,0.28,,0.28,,0.28,,0.27
GPA Total                                    Mean,,3.57,,,,3.58,,3.6,,3.59,,3.62,,3.64
SD,,0.34,,,,0.33,,0.33,,0.34,,0.33,,0.33
Total Applicants,,"52,777",,,,"53,369",,"53,030",,"62,443",,"55,189",,"52,577"