Applicants,American Indian or Alaska Native,Asian,"Black or
African American","Hispanic, Latino, or of Spanish Origin","Native Hawaiian or
Other Pacific Islander",White,Other,"Multiple
Race/Ethnicity","Unknown
Race/Ethnicity",Non-U.S. Citizen and Non-Permanent Resident,Total
MCAT CPBS Mean,124,127.3,"124.1","124.8","124.8",126.6,126.2,"125.9","126.8",127,126.3
MCAT CPBS SD,2.7,2.7,"2.8","2.8","2.8",2.6,2.8,"2.9","2.7",2.9,2.9
MCAT CARS Mean,124.2,126.0,"123.7","124.1","124.3",126.3,125.0,"125.5","126.4",125.3,125.7
MCAT CARS SD,2.5,2.7,"2.6","2.6","2.5",2.5,2.7,"2.8","2.6",2.7,2.8
MCAT BBLS Mean,124.6,127.4,"124.5","125.4","125.4",127.0,126.6,"126.3","127.1",127.3,126.7
MCAT BBLS SD,2.8,2.7,"2.8","2.9","2.6",2.6,2.8,"2.9","2.7",2.8,2.8
MCAT PSBB Mean,125.2,127.9,"125.3","125.9","125.9",127.6,127.2,"127.0","127.8",127.4,127.3
MCAT PSBB SD,2.9,2.6,"2.9","2.9","2.7",2.5,2.7,"2.9","2.6",2.9,2.8
Total MCAT Mean,498.0,508.6,"497.6","500.2","500.4",507.5,505.0,"504.6","508.2",507.1,505.9
Total MCAT SD,9.4,9.2,"9.6","9.6","9.0",8.5,9.4,"9.9","8.9",9.8,9.7
GPA Science Mean,3.16,3.54,"3.16","3.33","3.28",3.57,3.46,"3.42","3.50",3.57,3.48
GPA Science SD,0.58,0.41,"0.50","0.47","0.50",0.37,0.44,"0.46","0.42",0.45,0.44
GPA Non-Science Mean,3.58,3.77,"3.58","3.66","3.66",3.78,3.74,"3.71","3.73",3.75,3.74
GPA Non-Science SD,0.33,0.25,"0.35","0.31","0.31",0.25,0.28,"0.29","0.29",0.29,0.28
GPA Total Mean,3.36,3.63,"3.35","3.47","3.45",3.66,3.58,"3.54","3.60",3.64,3.59
GPA Total SD,0.41,0.32,"0.40","0.37","0.35",0.29,0.34,"0.36","0.34",0.35,0.34