State,MCAT CPBS Mean,MCAT CPBS SD,MCAT CARS Mean,MCAT CARS SD,MCAT BBLS Mean,MCAT BBLS SD,MCAT PSBB Mean,MCAT PSBB  SD,"Total MCAT Mean",Total MCAT SD,GPA Science Mean,GPA Science SD,GPA Non-Science Mean,GPA Non-Science SD,GPA Total Mean,GPA Total SD,"Total Matriculants"
Connecticut,128.4,1.9,127.5,2.1,128.8,1.8,129.5,1.7,"514.3",5.7,3.70,0.28,3.83,0.20,3.76,0.22,"251"
Delaware,128.0,2.0,127.3,1.7,128.3,1.6,129.4,1.6,"513.1",5.2,3.78,0.23,3.90,0.11,3.83,0.16,"52"
District of Columbia,128.1,2.0,127.5,2.0,128.5,2.4,129.3,2.2,"513.4",6.5,3.62,0.32,3.73,0.26,3.67,0.26,"43"
Maine,128.0,1.9,127.2,1.9,128.5,1.5,129.2,1.6,"512.9",3.8,3.63,0.29,3.82,0.17,3.72,0.21,"43"
Maryland,128.0,2.2,127.0,2.3,128.4,2.0,129.2,1.9,"512.6",6.5,3.65,0.33,3.83,0.19,3.72,0.26,"539"
Massachusetts,128.6,1.9,127.8,2.2,129.0,1.8,129.6,1.7,"515.0",5.5,3.70,0.28,3.81,0.20,3.75,0.23,"728"
New Hampshire,128.3,2.1,127.7,1.9,129.0,2.0,129.3,1.7,"514.3",5.8,3.69,0.30,3.82,0.23,3.75,0.25,"51"
New Jersey,128.6,1.9,127.3,2.2,128.7,1.9,129.3,1.8,"513.9",5.7,3.71,0.32,3.84,0.21,3.77,0.25,"920"
New York,128.4,2.0,127.2,2.3,128.6,2.0,129.3,1.8,"513.6",6.0,3.67,0.31,3.82,0.21,3.73,0.24,"1,706"
Pennsylvania,128.3,2.0,127.3,2.2,128.7,1.8,129.2,1.8,"513.5",5.7,3.71,0.30,3.86,0.18,3.77,0.23,"751"
Rhode Island,128.1,2.1,127.5,2.2,128.3,1.7,129.5,2.0,"513.3",6.3,3.67,0.28,3.82,0.19,3.74,0.23,"78"
Vermont,127.5,2.1,127.4,2.7,128.6,2.0,128.7,1.8,"512.2",6.5,3.59,0.38,3.77,0.24,3.67,0.30,"57"
Illinois,128.0,2.2,127.0,2.3,128.3,2.1,129.0,1.9,"512.3",6.7,3.69,0.34,3.84,0.23,3.75,0.27,"921"
Indiana,128.2,2.0,127.1,2.2,128.2,2.0,128.8,1.8,"512.2",5.6,3.79,0.25,3.88,0.17,3.83,0.20,"392"
Iowa,128.4,1.9,126.9,2.3,128.5,1.9,129.4,1.9,"513.2",6.0,3.77,0.22,3.88,0.16,3.82,0.18,"151"
Kansas,127.2,2.1,126.6,2.4,127.7,2.0,128.3,2.0,"509.8",6.5,3.72,0.32,3.86,0.24,3.78,0.28,"211"
Michigan,127.7,2.3,126.7,2.4,128.0,2.2,128.8,2.0,"511.2",7.0,3.68,0.30,3.84,0.20,3.75,0.24,"836"
Minnesota,127.8,2.2,127.2,2.4,128.2,2.1,128.9,2.0,"512.1",6.5,3.70,0.29,3.84,0.21,3.76,0.23,"408"
Missouri,127.3,2.3,126.9,2.4,128.0,2.1,128.7,2.1,"510.8",6.8,3.74,0.28,3.86,0.19,3.80,0.21,"387"
Nebraska,127.6,1.8,126.7,2.1,128.0,1.8,128.5,1.6,"511.0",4.8,3.75,0.28,3.88,0.22,3.80,0.23,"125"
North Dakota,127.1,2.1,125.8,2.4,127.2,1.9,127.9,2.2,"508.1",6.8,3.70,0.34,3.81,0.31,3.75,0.28,"36"
Ohio,127.9,2.2,126.9,2.4,128.0,2.1,128.7,2.1,"511.6",7.0,3.68,0.34,3.86,0.21,3.75,0.26,"822"
South Dakota,126.6,2.1,126.1,2.0,127.0,1.6,127.7,1.7,"507.4",5.3,3.78,0.28,3.92,0.17,3.84,0.20,"69"
Wisconsin,127.9,2.1,126.9,2.2,128.1,2.1,129.0,1.9,"511.9",6.6,3.69,0.30,3.85,0.21,3.76,0.24,"381"
Alabama,127.1,2.2,126.8,2.3,127.7,2.1,128.5,2.0,"510.1",6.6,3.74,0.29,3.89,0.16,3.81,0.21,"269"
Arkansas,126.5,2.1,126.3,2.1,127.1,2.0,128.0,2.0,"507.9",5.9,3.76,0.24,3.90,0.16,3.82,0.19,"188"
Florida,127.7,2.1,126.7,2.3,128.0,2.0,129.0,1.8,"511.4",5.9,3.68,0.30,3.84,0.20,3.75,0.24,"1,190"
Georgia,127.2,2.4,126.6,2.3,127.5,2.3,128.4,2.2,"509.7",7.4,3.65,0.33,3.82,0.25,3.72,0.27,"790"
Kentucky,126.7,2.2,126.3,2.3,127.0,2.2,127.8,1.9,"507.7",6.5,3.69,0.31,3.87,0.20,3.77,0.24,"341"
Louisiana,126.6,2.1,126.5,2.4,127.2,2.0,128.1,2.0,"508.3",6.3,3.64,0.35,3.84,0.24,3.72,0.29,"393"
Mississippi,126.2,2.0,126.0,2.3,126.7,2.1,127.3,2.0,"506.2",5.9,3.70,0.34,3.86,0.24,3.77,0.28,"185"
North Carolina,127.7,2.2,127.0,2.3,128.1,2.2,128.9,2.0,"511.6",6.8,3.59,0.35,3.77,0.25,3.68,0.27,"549"
Oklahoma,127.1,2.2,126.7,2.4,127.4,2.0,128.5,1.8,"509.7",6.2,3.74,0.28,3.90,0.15,3.82,0.20,"181"
Puerto Rico,124.8,2.2,123.3,2.3,125.3,2.1,125.4,2.4,"498.7",6.9,3.53,0.36,3.84,0.20,3.66,0.27,"353"